Jurisdiction,Measure Names,Measure Values
Cape Girardeau,Percent of Population Completing Vaccination,0.517262365
Camden,Percent of Population Completing Vaccination,0.469949250
Callaway,Percent of Population Completing Vaccination,0.516237177
Caldwell,Percent of Population Completing Vaccination,0.403658537
Butler,Percent of Population Completing Vaccination,0.364871227
Buchanan,Percent of Population Completing Vaccination,0.452119866
Boone,Percent of Population Completing Vaccination,0.652549276
Bollinger,Percent of Population Completing Vaccination,0.314843814
Benton,Percent of Population Completing Vaccination,0.480687137
Bates,Percent of Population Completing Vaccination,0.416398714
Barton,Percent of Population Completing Vaccination,0.346520334
Barry,Percent of Population Completing Vaccination,0.416971695
Audrain,Percent of Population Completing Vaccination,0.405033874
Atchison,Percent of Population Completing Vaccination,0.580789423
Andrew,Percent of Population Completing Vaccination,0.478884372
Adair,Percent of Population Completing Vaccination,0.495284694
Wright,Percent of Population Initiating Vaccination,0.409207720
Worth,Percent of Population Initiating Vaccination,0.433184302
Webster,Percent of Population Initiating Vaccination,0.444913114
Wayne,Percent of Population Initiating Vaccination,0.350112639
Washington,Percent of Population Initiating Vaccination,0.397816417
Warren,Percent of Population Initiating Vaccination,0.484277259
Vernon,Percent of Population Initiating Vaccination,0.385935904
Unknown Jurisdiction,Percent of Population Initiating Vaccination,
Texas,Percent of Population Initiating Vaccination,0.365973699
Taney,Percent of Population Initiating Vaccination,0.483067515
Sullivan,Percent of Population Initiating Vaccination,0.476268681
Stone,Percent of Population Initiating Vaccination,0.466574862
Stoddard,Percent of Population Initiating Vaccination,0.436279070
Ste. Genevieve,Percent of Population Initiating Vaccination,0.414720018
St. Louis City,Percent of Population Initiating Vaccination,0.711490605
St. Louis,Percent of Population Initiating Vaccination,0.756088533
St. Francois,Percent of Population Initiating Vaccination,0.502075430
St. Clair,Percent of Population Initiating Vaccination,0.416515909
St. Charles,Percent of Population Initiating Vaccination,0.699571168
Shelby,Percent of Population Initiating Vaccination,0.477571669
Shannon,Percent of Population Initiating Vaccination,0.363825618
Scott,Percent of Population Initiating Vaccination,0.461154650
Scotland,Percent of Population Initiating Vaccination,0.288453692
Schuyler,Percent of Population Initiating Vaccination,0.313519313
Saline,Percent of Population Initiating Vaccination,0.535872765
Ripley,Percent of Population Initiating Vaccination,0.325782661
Reynolds,Percent of Population Initiating Vaccination,0.344338118
Ray,Percent of Population Initiating Vaccination,0.500608220
Randolph,Percent of Population Initiating Vaccination,0.459067399
Ralls,Percent of Population Initiating Vaccination,0.430497623
Putnam,Percent of Population Initiating Vaccination,0.356047700
Pulaski,Percent of Population Initiating Vaccination,0.279012299
Polk,Percent of Population Initiating Vaccination,0.463373666
Platte,Percent of Population Initiating Vaccination,0.509354477
Pike,Percent of Population Initiating Vaccination,0.413779915
Phelps,Percent of Population Initiating Vaccination,0.500953492
Pettis,Percent of Population Initiating Vaccination,0.500366093
Perry,Percent of Population Initiating Vaccination,0.442098662
Pemiscot,Percent of Population Initiating Vaccination,0.356216387
Ozark,Percent of Population Initiating Vaccination,0.343252671
Osage,Percent of Population Initiating Vaccination,0.475358061
Oregon,Percent of Population Initiating Vaccination,0.346281698
Nodaway,Percent of Population Initiating Vaccination,0.534582654
Newton,Percent of Population Initiating Vaccination,0.360916389
New Madrid,Percent of Population Initiating Vaccination,0.413328648
Morgan,Percent of Population Initiating Vaccination,0.409027003
Montgomery,Percent of Population Initiating Vaccination,0.507401957
Monroe,Percent of Population Initiating Vaccination,0.467029153
Moniteau,Percent of Population Initiating Vaccination,0.423010166
Mississippi,Percent of Population Initiating Vaccination,0.440515933
Miller,Percent of Population Initiating Vaccination,0.418751708
Mercer,Percent of Population Initiating Vaccination,0.428531933
McDonald,Percent of Population Initiating Vaccination,0.397031134
Marion,Percent of Population Initiating Vaccination,0.453767964
Maries,Percent of Population Initiating Vaccination,0.433942739
Madison,Percent of Population Initiating Vaccination,0.441677697
Macon,Percent of Population Initiating Vaccination,0.454058345
Livingston,Percent of Population Initiating Vaccination,0.496092467
Linn,Percent of Population Initiating Vaccination,0.507046980
Lincoln,Percent of Population Initiating Vaccination,0.475013980
Lewis,Percent of Population Initiating Vaccination,0.348097381
Lawrence,Percent of Population Initiating Vaccination,0.472402555
Lafayette,Percent of Population Initiating Vaccination,0.514461294
Laclede,Percent of Population Initiating Vaccination,0.415558604
Knox,Percent of Population Initiating Vaccination,0.439504925
Kansas City,Percent of Population Initiating Vaccination,0.710787015
Joplin,Percent of Population Initiating Vaccination,0.733333333
Johnson,Percent of Population Initiating Vaccination,0.428008583
Jefferson,Percent of Population Initiating Vaccination,0.573286950
Jasper,Percent of Population Initiating Vaccination,0.393353015
Jackson,Percent of Population Initiating Vaccination,0.649536369
Iron,Percent of Population Initiating Vaccination,0.415209877
Independence,Percent of Population Initiating Vaccination,0.620354498
Howell,Percent of Population Initiating Vaccination,0.419622604
Howard,Percent of Population Initiating Vaccination,0.503249675
Holt,Percent of Population Initiating Vaccination,0.462411992
Hickory,Percent of Population Initiating Vaccination,0.461127410
Henry,Percent of Population Initiating Vaccination,0.540276760
