table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Missouri: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Mercer County, Missouri","3,535","3,512","3,480","3,469","3,499","3,452",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Miller County, Missouri","24,729","24,778","24,949","25,384","25,566","25,668",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Mississippi County, Missouri","12,569","12,121","12,105","11,683","11,852","11,750",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Moniteau County, Missouri","15,473","15,216","15,313","15,241","15,245","15,294",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Monroe County, Missouri","8,668","8,693","8,708","8,650","8,731","8,890",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Montgomery County, Missouri","11,316","11,286","11,440","11,463","11,430","11,511",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Morgan County, Missouri","21,007","21,001","21,441","21,781","21,963","22,399",,,,,,,,,,,,,,,,,,,,,,,,,,,
".New Madrid County, Missouri","16,429","16,329","16,039","15,686","15,388","15,212",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Newton County, Missouri","58,650","58,699","59,451","60,107","60,813","61,519",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Nodaway County, Missouri","21,232","20,999","20,984","20,690","20,693","20,503",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Oregon County, Missouri","8,638","8,611","8,628","8,709","8,719","8,699",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Osage County, Missouri","13,270","13,255","13,397","13,399","13,479","13,478",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Ozark County, Missouri","8,554","8,519","8,790","8,970","8,996","9,090",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Pemiscot County, Missouri","15,663","15,589","15,246","14,880","14,669","14,407",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Perry County, Missouri","18,954","18,971","18,975","18,882","18,950","19,100",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Pettis County, Missouri","42,980","43,004","43,220","43,381","43,591","43,791",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Phelps County, Missouri","44,638","44,568","44,912","45,301","45,517","45,672",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Pike County, Missouri","17,587","17,413","17,606","17,650","17,927","17,961",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Platte County, Missouri","106,725","107,190","108,752","110,593","112,112","113,207",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Polk County, Missouri","31,522","31,616","32,047","32,669","32,818","33,070",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Pulaski County, Missouri","53,959","54,039","53,816","53,824","53,829","53,964",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Putnam County, Missouri","4,674","4,685","4,692","4,653","4,639","4,539",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Ralls County, Missouri","10,351","10,354","10,365","10,419","10,501","10,499",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Randolph County, Missouri","24,713","24,457","24,569","24,619","24,105","24,077",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Ray County, Missouri","23,161","23,135","23,095","23,119","23,178","23,199",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Reynolds County, Missouri","6,094","6,079","6,084","5,994","5,965","5,927",,,,,,,,,,,,,,,,,,,,,,,,,,,
